dialogue_prepared,summary_prepared,generated_summary
"Linda: hey have we decided on a lunch place yet?
Ronnie: thought we were going for sushi
Linda: Karen said she hates raw fish or something
Karen: nah I'm ok with sushi, just thought we would go for smth cheaper this time ;p 
Karen: hard times are a-coming xd
Ronnie: been craving sushi all week long :( but i sooo get, K, maybe we should dial it down with the fancy places
Linda: hey there is this pasta joint right next to our apartement
Linda: you get it in like takeout boxes. we could take these out to the park
Ronnie: so down with that!
Karen: same here! let's wait for Amanda tho
Linda: @Amanda are you ok with pasta for lunch?
Ronnie: let's hope she checks her fb this time haha
Amanda: hey guys, yes! whatever works for me :)","Karen wants something cheaper than sushi for lunch. Linda, Ronnie and Karen will get takeout pasta boxes to the park.","I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

If you're going to do this, you need to do it right. If you don't do this right, you're not doing it right, and you're doing it wrong."
"Whitney: What will be for dinner?
William: Spaghetti alla vongole
Whitney: What's this vongole? Never seen this word
William: It's in Italian
Whitney: What does it mean?
William: Clams, it's a kind of seashells, seafood
Whitney: Oho, ambitious, how are you going to do that?
William: First I will cook pasta
Whitney: quite obvious, this is spagghetti alla vontale
William: Alla vongole. Afterwards I make garlic golden, add wine and then clams
Whitney: Gonna get drunk :))
William: Very funny. I wait as clams open, and I'll add pasta
Whitney: Sounds delicious, I am mouth watering!","William is making spaghetti alla vongole for dinner. It's an Italian dish and it involves pasta, garlic, wine and clams.","""I think it's important for us to be able to do that,"" he said. ""I think that's what we're trying to do.""

He added: ""We've got a lot of work ahead of us. We've got to make sure that we're doing it right.

"""
"Louis: did you see all the people outside the book shop today?
Louis: it was insane!!!
Sara: YES!!!
Sara: i saw a hugeeeeeeee crowd
Sara: do you know what was going on?
Louis: my friend told me this writer, this new writer...
Louis: i can't remember his name...
Louis: the one that writes about vampires
Sara: dante kyle?
Louis: no, the other one
Sara: cole grant?
Louis: YES!! my friends told me he was there signing copies of his books
Sara: no big loss then
Sara: i'm not a fan of his","There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.","""I don't know what to say,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it.""

He added: ""I think it's going to take a long time. I think it will take a very long time."""
"Cole: hey roomie XD XD
Luis: dude we are in the SAME DAMN ROOM
Cole: its funny XD
Luis: -_-
Cole: pass me my pillow xD
Luis: not until you say it to my face
Cole: dude cmon 
Luis: ...
Cole: oh youre not gonna talk to your roommate now
Luis: im not gonna text an idiot whos practically sitting just a few inches from me -_-
Cole: xD",Cole and Luis are sitting in the same room and yet they're texting each other.,"""I don't know if I'm going to be able to do it,"" he said. ""I'm not sure if I can do it. I don't think I can.""

He added: ""I think it's going to take some time. I think it will take a lot of time."
"Daniel: I'm packing for the trip, are you done with it?
Michael: Mostly done, don't forget your passport!
Matt: is an ID not enough?
Michael: sure not!
Brian: why?
Michael: Bosnia and Herzegovina is not in the EU, so we will have a proper border control
Michael: no passport, no entry
Daniel: good you wrote us this I think :P
Matt: yes, we're morons 
Daniel: haha, yes, a bit
Brian: I didn't even know we're going to enter Bosnia, I though we're going to stay in Croatia only
Michael: we planned to go to Mostar and the mountains, so Bosnia it is
Brian: anyway, I'll pack my passport
Michael: very good","Daniel, Michael, Matt and Brian are going to Croatia and Bosnia and Herzegovina. They are packing. Michael reminds them to take their passports, because Bosnia and Herzegovina is not in the EU. They will go to Mostar and the mountains in Bosnia.","""I don't know what to say to that,"" he said. ""I'm not going to tell you what to do. I don't want you to think about it.""

He added: ""I think it's important for us to be honest with each other about what we're doing and what we"
"Sharon: My mum knows
Ahmed: Aaaand?
Sharon: She’s angry, I’m grounded
Ahmed: For fuck’s sake you’re 19
Sharon: But I still live with my parents, let me remind you -_-
Ahmed: So move out
Sharon: It’s not that easy, hello
Ahmed: Move in with me, we would be together all the time :*
Sharon: I’d have to go to work, I’m still a student
Ahmed: Don’t worry, I’ll take care of you
Sharon: My parents will stop talking to me at all
Ahmed: So what
Sharon: I care about my parents, cmon!
Ahmed: But they’re stupid
Sharon: Don’t talk about them like that!! They’re just… old and manipulated
Ahmed: How can you manipulated into being an asshole -_-
Sharon: Ok, I know you fell hurt by their behavior but stop it
Ahmed: You don’t care about me
Sharon: I do! But my family is important to me, you should understand that
Ahmed: OK, whatever",Ahmed wants Sharon to move in with him but she's afraid of her parents' reaction. Ahmed is angry.,"""I think it's important for us to make sure that we're doing everything we can to ensure that we have the best possible service to our customers,"" he said.

He added: ""It's important to us that our customers have access to the most up-to-date information about our products and"
"Nora: John, are you at school?
John: yes, maths now
Nora: I've just talked on the phone to your math teacher
John: oh
Theresa: yes, where are you?
John: in the park
Theresa: Wait there, we have to talk
John: no, I'm leaving
Theresa: wait for me! 
Theresa: We're your mothers!",John is in the park. He is leaving now.,"""I think it's important for us to make sure that we're doing everything we can to ensure that we have the best possible service for our customers,"" he said.

""We're going to continue to work with our partners to ensure we're providing the best service possible to our customers.""

The"
"Willyx: how did your job interview go?
Alicja: it's tomorrow :D
Willyx: sorry
Alicja: it's ok :)
Willyx: let me know how it went
Alicja: sure",Alicja's job interview is tomorrow. She will inform Willyx how it goes.,"""I think it's important for us to do something about it,"" he said.

""It's important to us that we do something to stop this from happening.""

Topics: government-and-politics, federal-government, australia, asia

First posted"
"Frank: wat are u doing??
Andy: watching Arrow B)
Frank: dont u have a quiz tomorrow :/
Andy: yeah, so? :3
Frank: so go study for it 
Andy: its a small quiz
Frank: so it doesnot matter??
Andy: it does, but ..
Frank: but??
Andy: i'll study for it tomorrow
Frank: yea like ur gonna wake up on time for that -_-
Andy: dude your not my dad
Frank: -_-",Frank tries to encourage Andy to learn for the tomorrow's quiz.,"""I think it's important for us to do something about it,"" he said.

""We're not going to be able to do that. We're going to have to look at what we can do.""

Topics: government-and-politics, federal-government, australia"
"Frederick: do u like ur new next door neighbors?
Frederick: they seemed really cool yesterday when we ran into them
Ricky: they're nice people but they're incredibly noise
Ricky: they also have parakeet that wouldn't stop squawking all night long hahaha
Frederick: sucks to be you",Ricky's new neighbours are nice but loud. They own a parakeet that makes a lot of noise throughout the night.,"""I think it's important for us to be able to do that,"" he said. ""I think that's what we're trying to do.""

He added: ""It's important to us that we have the resources to do what we need to do. I think we're going to have to do"
"Craig: Man, u there?
Derek: Yeah, tell me
Craig: I need help with my computer
Derek: What happened?
Craig: I don't know exactly but it's not working
Derek: Well, ok... give me 20 minutes, got to get to my car
Craig: Ok, thanks
Derek: No prob",Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.,"""I think it's important for us to be able to do that,"" he said.

""It's important to us to make sure that we have the resources to do it.""

Topics: government-and-politics, federal-government, australia

First posted"
"Ethan: who's going to see solstafir?
Noah: solstafir! when?
Noah: i had no idea they were playing
Archie: I'm not :D.
Leo: i'm going ofc!
Ethan: 21.11
Noah: that's a wednesday... ehh...
Noah: i'll have to see, might have to stay late at work...
Leo: nooo you have to come
Ethan: yeah you have to!
Archie: There are better concerts :P.
Noah: i know, i would really like to see them, but yeah
Leo: archie... :P
Ethan: don't mind him :P
Noah: i'll see and let you know, it would really suck to miss them
Leo: yup!
Ethan: yup! x2","Ethan and Leo are going to see Sólstafir on 21.11. Noah would like to go too, but he might have to stay late at work.","""I don't know what to say to that,"" he said. ""I'm not going to tell you what to do, but I'm going to say what you need to do.""

He added: ""If you're going to do something, you have to do it. If you're not going"
"Victor: do you need me to pick you up from the airport
David: that would be neat
Victor: what time are you landing
David: 17:30 at Sevilla
Victor: SEVILLA???
David: yeah sorry
David: Jerez was too expensive
David: you don't have to pick me up if you can't
Victor: no its ok",David lands at 17:30 at Sevilla airport and Victor will pick him up.,"""I think it's important for us to do something about it,"" he said.

""We're not going to do anything about it. We're going to take care of it.""

Topics: government-and-politics, federal-government, australia

First posted"
"Meg: still at school?
Ann: i have extra math classes
Meg: so when can i meet you?
Ann: i will be home at 7",Ann is still at school. She will be home at 7 so she can meet Meg then.,"""I don't know what to say about it,"" he said. ""I'm not sure what to think about it. I don't think I'm going to be able to do anything about it.""

He added: ""I think it's going to take some time. I think it will take some"
